hr_id,obs_id,error_px
3775,4,11.041502947383815
3619,0,0.0
3894,1,16.636279060662698
3881,3,1.1368683772161603e-13
3958,6,34.83082983112233
3725,9,18.07970208921492
4044,5,31.976481381528018
